name,Aggregate_function
timestamp,first
out.electricity.ceiling_fan.energy_consumption,sum
out.electricity.ceiling_fan.energy_consumption_intensity,sum
out.electricity.clothes_dryer.energy_consumption,sum
out.electricity.clothes_dryer.energy_consumption_intensity,sum
out.electricity.clothes_washer.energy_consumption,sum
out.electricity.clothes_washer.energy_consumption_intensity,sum
out.electricity.cooling_fans_pumps.energy_consumption,sum
out.electricity.cooling_fans_pumps.energy_consumption_intensity,sum
out.electricity.cooling.energy_consumption,sum
out.electricity.cooling.energy_consumption_intensity,sum
out.electricity.dishwasher.energy_consumption,sum
out.electricity.dishwasher.energy_consumption_intensity,sum
out.electricity.freezer.energy_consumption,sum
out.electricity.freezer.energy_consumption_intensity,sum
out.electricity.heating_fans_pumps.energy_consumption,sum
out.electricity.heating_fans_pumps.energy_consumption_intensity,sum
out.electricity.heating_hp_bkup.energy_consumption,sum
out.electricity.heating_hp_bkup.energy_consumption_intensity,sum
out.electricity.heating.energy_consumption,sum
out.electricity.heating.energy_consumption_intensity,sum
out.electricity.hot_tub_heater.energy_consumption,sum
out.electricity.hot_tub_heater.energy_consumption_intensity,sum
out.electricity.hot_tub_pump.energy_consumption,sum
out.electricity.hot_tub_pump.energy_consumption_intensity,sum
out.electricity.hot_water.energy_consumption,sum
out.electricity.hot_water.energy_consumption_intensity,sum
out.electricity.lighting_exterior.energy_consumption,sum
out.electricity.lighting_exterior.energy_consumption_intensity,sum
out.electricity.lighting_garage.energy_consumption,sum
out.electricity.lighting_garage.energy_consumption_intensity,sum
out.electricity.lighting_interior.energy_consumption,sum
out.electricity.lighting_interior.energy_consumption_intensity,sum
out.electricity.mech_vent.energy_consumption,sum
out.electricity.mech_vent.energy_consumption_intensity,sum
out.electricity.plug_loads.energy_consumption,sum
out.electricity.plug_loads.energy_consumption_intensity,sum
out.electricity.pool_heater.energy_consumption,sum
out.electricity.pool_heater.energy_consumption_intensity,sum
out.electricity.pool_pump.energy_consumption,sum
out.electricity.pool_pump.energy_consumption_intensity,sum
out.electricity.pv.energy_consumption,sum
out.electricity.pv.energy_consumption_intensity,sum
out.electricity.range_oven.energy_consumption,sum
out.electricity.range_oven.energy_consumption_intensity,sum
out.electricity.refrigerator.energy_consumption,sum
out.electricity.refrigerator.energy_consumption_intensity,sum
out.electricity.well_pump.energy_consumption,sum
out.electricity.well_pump.energy_consumption_intensity,sum
out.fuel_oil.heating_hp_bkup.energy_consumption,sum
out.fuel_oil.heating_hp_bkup.energy_consumption_intensity,sum
out.fuel_oil.heating.energy_consumption,sum
out.fuel_oil.heating.energy_consumption_intensity,sum
out.fuel_oil.hot_water.energy_consumption,sum
out.fuel_oil.hot_water.energy_consumption_intensity,sum
out.natural_gas.clothes_dryer.energy_consumption,sum
