field_name,functional_group
timestamp,
out.electricity.ceiling_fan.energy_consumption,HVAC_cooling
out.electricity.ceiling_fan.energy_consumption_intensity,HVAC_cooling
out.electricity.clothes_dryer.energy_consumption,appliances
out.electricity.clothes_dryer.energy_consumption_intensity,appliances
out.electricity.clothes_washer.energy_consumption,appliances
out.electricity.clothes_washer.energy_consumption_intensity,appliances
out.electricity.cooling.energy_consumption,HVAC_cooling
out.electricity.cooling.energy_consumption_intensity,HVAC_cooling
out.electricity.cooling_fans_pumps.energy_consumption,HVAC_cooling
out.electricity.cooling_fans_pumps.energy_consumption_intensity,HVAC_cooling
out.electricity.dishwasher.energy_consumption,appliances
out.electricity.dishwasher.energy_consumption_intensity,appliances
out.electricity.freezer.energy_consumption,appliances
out.electricity.freezer.energy_consumption_intensity,appliances
out.electricity.heating.energy_consumption,HVAC_heating
out.electricity.heating.energy_consumption_intensity,HVAC_heating
out.electricity.heating_fans_pumps.energy_consumption,HVAC_heating
out.electricity.heating_fans_pumps.energy_consumption_intensity,HVAC_heating
out.electricity.heating_hp_bkup.energy_consumption,HVAC_heating
out.electricity.heating_hp_bkup.energy_consumption_intensity,HVAC_heating
out.electricity.heating_hp_bkup_fa.energy_consumption,HVAC_heating
out.electricity.heating_hp_bkup_fa.energy_consumption_intensity,HVAC_heating
out.electricity.hot_water.energy_consumption,hot_water
out.electricity.hot_water.energy_consumption_intensity,hot_water
out.electricity.lighting_exterior.energy_consumption,appliances
out.electricity.lighting_exterior.energy_consumption_intensity,appliances
out.electricity.lighting_garage.energy_consumption,appliances
out.electricity.lighting_garage.energy_consumption_intensity,appliances
out.electricity.lighting_interior.energy_consumption,appliances
out.electricity.lighting_interior.energy_consumption_intensity,appliances
out.electricity.mech_vent.energy_consumption,HVAC_cooling
out.electricity.mech_vent.energy_consumption_intensity,HVAC_cooling
out.electricity.net.energy_consumption,net
out.electricity.net.energy_consumption_intensity,net
out.electricity.permanent_spa_heat.energy_consumption,appliances
out.electricity.permanent_spa_heat.energy_consumption_intensity,appliances
out.electricity.permanent_spa_pump.energy_consumption,appliances
out.electricity.permanent_spa_pump.energy_consumption_intensity,appliances
out.electricity.plug_loads.energy_consumption,appliances
out.electricity.plug_loads.energy_consumption_intensity,appliances
out.electricity.pool_heater.energy_consumption,appliances
out.electricity.pool_heater.energy_consumption_intensity,appliances
out.electricity.pool_pump.energy_consumption,appliances
out.electricity.pool_pump.energy_consumption_intensity,appliances
out.electricity.pv.energy_consumption,PV
out.electricity.pv.energy_consumption_intensity,PV
out.electricity.range_oven.energy_consumption,appliances
out.electricity.range_oven.energy_consumption_intensity,appliances
out.electricity.refrigerator.energy_consumption,appliances
out.electricity.refrigerator.energy_consumption_intensity,appliances
out.electricity.total.energy_consumption,total
out.electricity.total.energy_consumption_intensity,total
out.electricity.well_pump.energy_consumption,appliances
out.electricity.well_pump.energy_consumption_intensity,appliances
out.fuel_oil.heating.energy_consumption,HVAC_heating
out.fuel_oil.heating.energy_consumption_intensity,HVAC_heating
out.fuel_oil.heating_hp_bkup.energy_consumption,HVAC_heating
out.fuel_oil.heating_hp_bkup.energy_consumption_intensity,HVAC_heating
out.fuel_oil.hot_water.energy_consumption,hot_water
out.fuel_oil.hot_water.energy_consumption_intensity,hot_water
out.fuel_oil.total.energy_consumption,total
out.fuel_oil.total.energy_consumption_intensity,total
out.natural_gas.clothes_dryer.energy_consumption,appliances
out.natural_gas.clothes_dryer.energy_consumption_intensity,appliances
out.natural_gas.fireplace.energy_consumption,HVAC_heating
out.natural_gas.fireplace.energy_consumption_intensity,HVAC_heating
out.natural_gas.grill.energy_consumption,appliances
out.natural_gas.grill.energy_consumption_intensity,appliances
out.natural_gas.heating.energy_consumption,HVAC_heating
out.natural_gas.heating.energy_consumption_intensity,HVAC_heating
out.natural_gas.heating_hp_bkup.energy_consumption,HVAC_heating
out.natural_gas.heating_hp_bkup.energy_consumption_intensity,HVAC_heating
out.natural_gas.hot_water.energy_consumption,hot_water
out.natural_gas.hot_water.energy_consumption_intensity,hot_water
out.natural_gas.lighting.energy_consumption,appliances
out.natural_gas.lighting.energy_consumption_intensity,appliances
out.natural_gas.permanent_spa_heat.energy_consumption,appliances
out.natural_gas.permanent_spa_heat.energy_consumption_intensity,appliances
out.natural_gas.pool_heater.energy_consumption,appliances
out.natural_gas.pool_heater.energy_consumption_intensity,appliances
out.natural_gas.range_oven.energy_consumption,appliances
out.natural_gas.range_oven.energy_consumption_intensity,appliances
out.natural_gas.total.energy_consumption,total
out.natural_gas.total.energy_consumption_intensity,total
out.propane.clothes_dryer.energy_consumption,appliances
out.propane.clothes_dryer.energy_consumption_intensity,appliances
out.propane.heating.energy_consumption,HVAC_heating
out.propane.heating.energy_consumption_intensity,HVAC_heating
out.propane.heating_hp_bkup.energy_consumption,HVAC_heating
out.propane.heating_hp_bkup.energy_consumption_intensity,HVAC_heating
out.propane.hot_water.energy_consumption,hot_water
out.propane.hot_water.energy_consumption_intensity,hot_water
out.propane.range_oven.energy_consumption,appliances
out.propane.range_oven.energy_consumption_intensity,appliances
out.propane.total.energy_consumption,total
out.propane.total.energy_consumption_intensity,total
out.site_energy.net.energy_consumption,net
out.site_energy.net.energy_consumption_intensity,net
out.site_energy.total.energy_consumption,total
out.site_energy.total.energy_consumption_intensity,total
out.load.cooling.energy_delivered.kbtu,HVAC_cooling
out.load.heating.energy_delivered.kbtu,HVAC_heating
out.load.hot_water.energy_delivered.kbtu,hot_water
out.outdoor_air_dryblub_temp.c,
out.zone_mean_air_temp.air_source_heat_pump_airloop_ret_air_zone.c,
out.zone_mean_air_temp.attic_unvented.c,
out.zone_mean_air_temp.attic_vented.c,
out.zone_mean_air_temp.basement_unconditioned.c,
out.zone_mean_air_temp.central_ac_airloop_ret_air_zone.c,
out.zone_mean_air_temp.central_ac_and_furnace_airloop_ret_air_zone.c,
out.zone_mean_air_temp.conditioned_space.c,
out.zone_mean_air_temp.crawlspace_unvented.c,
out.zone_mean_air_temp.crawlspace_vented.c,
out.zone_mean_air_temp.furnace_airloop_ret_air_zone.c,
out.zone_mean_air_temp.garage.c,
out.zone_mean_air_temp.ground_source_heat_pump_airloop_ret_air_zone.c,
out.total.lrmer_highrecost_15__electricity.co2e_kg,
out.total.lrmer_highrecost_15__fuel_oil.co2e_kg,
out.total.lrmer_highrecost_15__natural_gas.co2e_kg,
out.total.lrmer_highrecost_15__propane.co2e_kg,
out.total.lrmer_highrecost_15.co2e_kg,
