field_name,functional_group
upgrade,metadata
weight,metadata
applicability,metadata
in.sqft,envelope
in.representative_income,demographic
in.ahs_region,demographic
in.aiannh_area,demographic
in.area_median_income,demographic
in.ashrae_iecc_climate_zone_2004,demographic
in.ashrae_iecc_climate_zone_2004_2_a_split,demographic
in.bathroom_spot_vent_hour,HVAC
in.battery,appliances
in.bedrooms,envelope
in.building_america_climate_zone,demographic
in.cec_climate_zone,demographic
in.ceiling_fan,appliances
in.census_division,demographic
in.census_division_recs,demographic
in.census_region,demographic
in.city,demographic
in.clothes_dryer,appliances
in.clothes_dryer_usage_level,appliances
in.clothes_washer,appliances
in.clothes_washer_presence,appliances
in.clothes_washer_usage_level,appliances
in.cooking_range,appliances
in.cooking_range_usage_level,appliances
in.cooling_setpoint,HVAC_cooling
in.cooling_setpoint_has_offset,HVAC_cooling
in.cooling_setpoint_offset_magnitude,HVAC_cooling
in.cooling_setpoint_offset_period,HVAC_cooling
in.corridor,envelope
in.county,demographic
in.county_and_puma,demographic
in.county_name,demographic
in.dehumidifier,appliances
in.dishwasher,appliances
in.dishwasher_usage_level,appliances
in.door_area,envelope
in.doors,envelope
in.duct_leakage_and_insulation,HVAC
in.duct_location,HVAC
in.eaves,envelope
in.electric_vehicle,EV
in.emissions_electricity_folders,
in.emissions_electricity_units,
in.emissions_electricity_values_or_filepaths,
in.emissions_fossil_fuel_units,
in.emissions_scenario_names,
in.emissions_types,
in.energystar_climate_zone_2023,demographic
in.federal_poverty_level,demographic
in.generation_and_emissions_assessment_region,demographic
in.geometry_attic_type,envelope
in.geometry_building_horizontal_location_mf,envelope
in.geometry_building_horizontal_location_sfa,envelope
in.geometry_building_level_mf,envelope
in.geometry_building_number_units_mf,envelope
in.geometry_building_number_units_sfa,envelope
in.geometry_building_type_acs,envelope
in.geometry_building_type_height,envelope
in.geometry_building_type_recs,envelope
in.geometry_floor_area,envelope
in.geometry_floor_area_bin,envelope
in.geometry_foundation_type,envelope
in.geometry_garage,envelope
in.geometry_space_combination,envelope
in.geometry_stories,envelope
in.geometry_stories_low_rise,envelope
in.geometry_story_bin,envelope
in.geometry_wall_exterior_finish,envelope
in.geometry_wall_type,envelope
in.ground_thermal_conductivity,envelope
in.has_pv,PV
in.heating_fuel,HVAC_heating
in.heating_setpoint,HVAC_heating
in.heating_setpoint_has_offset,HVAC_heating
in.heating_setpoint_offset_magnitude,HVAC_heating
in.heating_setpoint_offset_period,HVAC_heating
in.holiday_lighting,appliances
in.hot_water_distribution,hot_water
in.hot_water_fixtures,hot_water
in.household_has_tribal_persons,demographic
in.hvac_cooling_efficiency,HVAC_cooling
in.hvac_cooling_partial_space_conditioning,HVAC_cooling
in.hvac_cooling_type,HVAC_cooling
in.hvac_has_ducts,HVAC
