name,Aggregate_function
bldg_id,first
timestamp,first
in.sqft,first
out.electricity.ceiling_fan.energy_consumption..kwh,sum
out.electricity.clothes_dryer.energy_consumption..kwh,sum
out.electricity.clothes_washer.energy_consumption..kwh,sum
out.electricity.cooling.energy_consumption..kwh,sum
out.electricity.cooling_fans_pumps.energy_consumption..kwh,sum
out.electricity.dishwasher.energy_consumption..kwh,sum
out.electricity.ev_charging.energy_consumption..kwh,sum
out.electricity.freezer.energy_consumption..kwh,sum
out.electricity.heating.energy_consumption..kwh,sum
out.electricity.heating_fans_pumps.energy_consumption..kwh,sum
out.electricity.heating_hp_bkup.energy_consumption..kwh,sum
out.electricity.heating_hp_bkup_fa.energy_consumption..kwh,sum
out.electricity.hot_water.energy_consumption..kwh,sum
out.electricity.hot_water_solar_th.energy_consumption..kwh,sum
out.electricity.lighting_exterior.energy_consumption..kwh,sum
out.electricity.lighting_garage.energy_consumption..kwh,sum
out.electricity.lighting_interior.energy_consumption..kwh,sum
out.electricity.mech_vent.energy_consumption..kwh,sum
out.electricity.net.energy_consumption..kwh,sum
out.electricity.permanent_spa_heat.energy_consumption..kwh,sum
out.electricity.permanent_spa_pump.energy_consumption..kwh,sum
out.electricity.plug_loads.energy_consumption..kwh,sum
out.electricity.pool_heater.energy_consumption..kwh,sum
out.electricity.pool_pump.energy_consumption..kwh,sum
out.electricity.pv.energy_consumption..kwh,sum
out.electricity.range_oven.energy_consumption..kwh,sum
out.electricity.refrigerator.energy_consumption..kwh,sum
out.electricity.television.energy_consumption..kwh,sum
out.electricity.total.energy_consumption..kwh,sum
out.electricity.well_pump.energy_consumption..kwh,sum
out.fuel_oil.heating.energy_consumption..kwh,sum
out.fuel_oil.hot_water.energy_consumption..kwh,sum
out.fuel_oil.total.energy_consumption..kwh,sum
out.natural_gas.clothes_dryer.energy_consumption..kwh,sum
out.natural_gas.fireplace.energy_consumption..kwh,sum
out.natural_gas.grill.energy_consumption..kwh,sum
out.natural_gas.heating.energy_consumption..kwh,sum
out.natural_gas.heating_hp_bkup.energy_consumption..kwh,sum
