date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2012-01-01 01:00:00,6.05,85.83,3.6,290.0,0.0,0.0,0.0
2012-01-01 02:00:00,6.1,84.06,4.1,285.0,0.0,0.0,0.0
2012-01-01 03:00:00,5.6,85.17,3.6,310.0,0.0,0.0,0.0
2012-01-01 04:00:00,5.0,85.71,2.6,310.0,0.0,0.0,0.0
2012-01-01 05:00:00,3.77,89.11,2.23,330.0,0.0,0.0,0.0
2012-01-01 06:00:00,2.8,92.48,2.1,350.0,0.0,0.0,0.0
2012-01-01 07:00:00,-1.1,95.15,0.0,275.0,0.0,0.0,0.0
2012-01-01 08:00:00,-1.4,97.57,0.75,200.0,0.0,0.0,0.0
2012-01-01 09:00:00,0.8,95.84,0.0,180.0,79.5,315.5,41.0
2012-01-01 10:00:00,3.3,92.51,2.1,160.0,210.5,563.5,71.5
2012-01-01 11:00:00,3.9,90.94,1.57,165.0,130.0,24.0,121.0
2012-01-01 12:00:00,7.2,73.66,4.1,150.0,332.0,539.5,119.5
2012-01-01 13:00:00,9.4,63.47,7.2,170.0,313.0,413.5,144.5
2012-01-01 14:00:00,9.4,61.09,7.7,165.0,295.5,480.5,117.5
2012-01-01 15:00:00,10.0,58.44,7.7,160.0,264.5,664.0,69.0
2012-01-01 16:00:00,10.6,54.18,5.1,170.0,138.0,464.0,54.0
2012-01-01 17:00:00,10.3,55.29,7.2,170.0,20.5,96.0,13.5
2012-01-01 18:00:00,9.4,63.47,7.2,160.0,0.0,0.0,0.0
2012-01-01 19:00:00,8.9,65.64,8.2,170.0,0.0,0.0,0.0
2012-01-01 20:00:00,8.35,71.02,7.2,170.0,0.0,0.0,0.0
2012-01-01 21:00:00,7.1,82.43,7.5,170.0,0.0,0.0,0.0
2012-01-01 22:00:00,6.7,88.93,5.7,180.0,0.0,0.0,0.0
2012-01-01 23:00:00,6.95,87.44,6.2,180.0,0.0,0.0,0.0
2012-01-02 00:00:00,6.9,92.71,6.03,176.67,0.0,0.0,0.0
