HINCP,VEH,NP,PUMA,WGTP
8600,3,2,01300,107
33600,1,1,01107,65
9500,0,1,01107,67
175000,3,2,01300,63
112130,5,4,01400,46
179000,0,4,00506,105
160000,1,1,00504,110
32100,2,2,01203,93
47300,3,3,01600,76
154000,3,4,00901,52
221000,3,3,01001,57
90000,2,2,00200,61
85100,6,2,00200,81
129000,2,3,01500,94
8600,3,2,01106,44
138200,3,2,01204,88
304000,2,2,01300,28
80200,2,1,00301,60
140000,1,1,00804,52
16900,0,1,00506,50
74200,1,1,01102,186
213000,3,3,01300,50
328000,4,3,01105,53
267300,2,2,01003,85
353800,5,5,01203,98
179100,2,2,01003,48
60000,2,1,01106,77
21700,2,5,00801,107
155600,3,7,01105,166
176000,2,3,01105,99
7200,0,1,00700,161
45900,1,1,01004,55
22000,1,1,00505,142
79200,0,3,01006,52
123400,3,2,00502,129
172600,5,5,01300,133
130200,2,4,01007,304
213200,1,2,01004,13
154080,3,3,00507,77
126000,2,4,01400,76
156000,0,2,01001,38
328000,6,4,00400,48
148520,2,2,01201,47
89300,3,3,01002,199
56000,1,1,00302,107
173800,2,2,01204,49
73850,1,1,00802,94
100000,1,1,01500,183
64200,2,3,01006,162
74000,1,1,01600,136
125000,2,2,01400,328
289600,2,2,01004,16
57500,2,2,00506,269
131000,4,4,01105,49
100000,1,1,01105,17
282800,2,4,00902,55
73500,1,1,00902,320
1700,2,1,00301,50
193700,3,3,01001,80
34080,0,1,00602,124
74000,0,1,00503,117
1200,3,2,00805,68
10800,1,1,01103,70
38120,1,1,01400,113
342000,1,2,01004,20
56000,0,1,00801,149
125400,2,2,01002,61
186000,2,3,00503,65
349100,2,2,01003,26
28500,3,2,00100,54
217700,4,7,00503,170
95000,2,2,01106,64
90200,1,2,01300,140
32000,1,5,01103,22
14500,1,1,00503,272
31000,0,2,00503,114
13000,2,1,01105,380
46700,2,2,00302,54
48000,1,1,01500,101
255600,4,6,00502,71
101600,0,1,00302,106
144000,0,4,01002,127
302650,3,4,01004,13
164100,5,2,01201,87
40800,1,2,00100,88
90000,1,1,00804,136
55000,2,3,00400,135
85000,2,1,00902,60
45800,3,2,01104,35
43200,2,1,00803,151
88200,1,2,01106,298
186200,2,2,00901,85
37900,2,2,00503,38
104000,2,2,01105,49
174800,2,4,00502,136
91600,1,1,01004,57
111000,1,1,00505,120
589000,1,4,01004,46
215000,1,2,01004,213
44300,2,3,01006,48
67000,1,1,00505,793
27500,1,1,01007,104
120300,1,1,00301,51
54000,2,2,00400,79
200000,2,2,01004,13
37500,3,4,01101,206
115500,2,2,00504,50
49200,3,2,01300,17
49000,2,3,01102,201
296200,5,3,01105,42
56400,2,3,01102,124
79200,0,1,01102,72
36000,1,1,01007,45
10000,1,1,00802,251
43600,3,3,00803,68
71900,1,1,01202,59
65300,1,2,00503,30
138000,3,3,00507,76
32200,2,4,01006,90
27000,1,3,00501,126
119000,1,1,01106,51
86000,1,2,01005,331
120100,1,1,00504,45
10800,2,4,00803,48
83500,1,1,01003,73
80000,2,3,01104,232
67200,2,2,01105,70
136400,2,2,01600,66
37400,3,3,01203,123
180030,4,4,01500,86
72600,3,2,01500,96
190000,2,2,01400,102
56800,1,2,00801,105
269600,2,3,00301,74
159400,2,2,01004,15
40000,1,4,01003,33
110000,1,1,01102,146
91600,3,3,00501,229
32000,1,1,00804,166
103000,2,5,01103,69
43200,2,2,00400,31
57300,0,3,01104,167
277000,2,5,01003,48
135470,2,2,01001,32
50000,1,1,01003,111
40800,4,3,01400,52
79700,1,2,01004,98
240000,3,3,00501,54
221600,2,3,01005,41
275500,2,3,01001,245
150000,3,2,00503,160
198000,2,2,01002,58
295400,2,2,00504,30
95000,1,1,00803,68
144820,2,4,01102,110
170640,0,10,01104,59
55200,0,1,01005,61
10500,2,2,00803,29
191000,2,3,00507,67
138000,3,4,00504,126
80000,2,3,01002,52
102000,2,2,00804,44
1700,1,1,00400,43
159000,4,3,00400,66
40930,2,5,00503,34
77000,1,1,01500,112
46300,3,2,00400,60
154000,4,3,00502,51
56600,3,3,01600,70
39600,1,1,00400,48
131800,3,3,00602,46
9800,2,1,00200,25
52400,2,4,01204,54
510000,2,4,01203,52
80100,0,2,01204,127
112210,3,2,01105,62
135000,3,2,01500,97
28400,2,1,00505,54
93000,1,1,01003,27
139000,1,1,01202,59
171000,1,1,00902,173
136600,3,3,00501,130
48400,2,2,01300,308
68000,2,2,00803,65
59000,2,5,01002,76
117200,3,2,01105,43
60000,1,1,00902,129
106000,3,2,00504,41
71600,0,2,01202,116
58300,1,2,00504,44
19400,0,2,00400,73
136400,1,1,00507,88
88600,1,2,00902,164
137500,1,1,01104,53
23000,2,2,01003,97
10700,0,1,00801,296
36600,4,4,00301,44
78100,3,2,01004,189
35000,1,1,01105,50
22960,1,1,01600,80
183400,2,2,00602,61
642450,3,4,01004,107
226000,2,3,01005,45
473900,3,4,00901,32
100000,1,1,01003,107
35000,1,1,00503,118
43000,1,1,00506,67
141000,3,2,00601,177
320000,5,5,00400,50
895000,2,4,01004,66
80000,3,3,00100,70
51880,1,1,00804,73
57000,1,1,00803,58
266000,2,2,01204,58
92000,2,2,00301,46
53200,3,2,01300,87
250000,1,1,01103,155
65600,2,2,01300,65
25270,1,1,01600,254
13000,1,1,01005,46
174000,2,2,00200,56
49000,1,2,00700,126
197390,4,3,01105,50
99600,1,2,01103,91
14000,1,1,00805,151
141000,2,3,00100,61
115000,4,5,01107,92
141000,1,4,00902,114
1007000,3,5,01203,39
22200,1,1,00506,38
91400,2,4,01300,29
50000,1,1,00302,326
94900,1,2,00601,128
38400,1,3,00504,75
104000,1,1,01300,84
20000,1,1,01107,45
75800,1,1,01600,134
105000,1,1,00602,50
75000,1,1,01203,81
46100,3,2,00302,79
156000,1,1,00502,218
56000,2,3,00506,51
19650,2,2,01600,99
330380,3,4,01007,49
64800,4,1,00200,53
85700,2,2,01004,105
1200,0,3,01005,102
47000,1,3,00801,203
217700,2,2,01006,96
592400,2,3,01500,145
59300,2,2,01104,29
57200,3,6,00700,188
140000,1,1,01101,102
114200,2,2,00301,51
51200,3,2,00200,62
206000,3,3,00400,49
117200,3,4,00801,30
55000,1,2,00506,93
19000,1,3,00801,51
64000,1,1,00805,48
100000,1,1,01006,55
442000,2,2,01001,58
126000,2,4,00602,189
3300,1,3,01600,111
269000,2,2,01600,73
187000,5,4,01201,474
206400,2,5,01105,47
386750,4,3,00504,47
156000,2,2,00802,43
20700,1,1,01204,90
98000,3,3,00301,162
132610,6,6,00601,98
