date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2005-01-01 01:00:00,8.0,76,2.6,150,0,0,0
2005-01-01 02:00:00,9.0,76,2.6,180,0,0,0
2005-01-01 03:00:00,10.0,76,3.1,190,0,0,0
2005-01-01 04:00:00,11.0,71,3.1,190,0,0,0
2005-01-01 05:00:00,11.0,76,3.1,210,0,0,0
2005-01-01 06:00:00,11.0,76,3.1,210,0,0,0
2005-01-01 07:00:00,12.0,71,4.1,230,0,0,0
2005-01-01 08:00:00,12.0,71,2.6,220,0,0,0
2005-01-01 09:00:00,12.0,67,4.1,240,128,422,66
2005-01-01 10:00:00,12.0,71,2.6,200,263,684,68
2005-01-01 11:00:00,15.0,59,2.1,230,377,766,80
2005-01-01 12:00:00,17.0,48,4.6,260,427,750,92
2005-01-01 13:00:00,17.0,45,5.1,290,448,803,80
2005-01-01 14:00:00,17.0,42,6.2,290,403,778,74
2005-01-01 15:00:00,17.0,45,5.7,290,316,625,103
2005-01-01 16:00:00,16.0,51,2.1,290,150,358,72
2005-01-01 17:00:00,12.0,58,2.6,320,33,167,22
2005-01-01 18:00:00,12.0,54,0.0,0,0,0,0
2005-01-01 19:00:00,11.0,58,0.0,0,0,0,0
2005-01-01 20:00:00,12.0,58,3.1,10,0,0,0
2005-01-01 21:00:00,9.0,66,3.1,50,0,0,0
2005-01-01 22:00:00,9.0,66,2.6,50,0,0,0
2005-01-01 23:00:00,7.0,70,1.5,300,0,0,0
2005-01-02 00:00:00,6.0,75,1.5,30,0,0,0
2005-01-02 01:00:00,5.0,75,4.6,360,0,0,0
2005-01-02 02:00:00,5.0,64,3.1,30,0,0,0
2005-01-02 03:00:00,3.0,68,2.6,40,0,0,0
2005-01-02 04:00:00,3.0,68,3.1,40,0,0,0
2005-01-02 05:00:00,4.0,64,2.6,90,0,0,0
2005-01-02 06:00:00,4.0,64,2.6,120,0,0,0
2005-01-02 07:00:00,4.0,64,1.5,70,0,0,0
2005-01-02 08:00:00,4.0,64,0.0,0,0,0,0
2005-01-02 09:00:00,4.0,64,2.1,100,129,233,94
2005-01-02 10:00:00,4.0,69,0.0,0,93,0,93
2005-01-02 11:00:00,6.0,65,0.0,0,227,129,177
2005-01-02 12:00:00,6.0,60,1.5,210,167,6,165
2005-01-02 13:00:00,5.0,75,3.6,150,131,0,131
2005-01-02 14:00:00,5.0,75,1.5,180,98,0,98
2005-01-02 15:00:00,5.0,75,2.6,170,169,64,147
2005-01-02 16:00:00,6.0,75,4.1,150,83,11,80
2005-01-02 17:00:00,6.0,75,2.6,140,17,0,17
2005-01-02 18:00:00,6.0,75,0.0,0,0,0,0
2005-01-02 19:00:00,6.0,81,0.0,0,0,0,0
2005-01-02 20:00:00,6.0,81,3.1,170,0,0,0
2005-01-02 21:00:00,5.0,87,0.0,0,0,0,0
2005-01-02 22:00:00,4.0,93,0.0,0,0,0,0
2005-01-02 23:00:00,4.0,87,1.5,290,0,0,0
2005-01-03 00:00:00,4.0,87,0.0,0,0,0,0
2005-01-03 01:00:00,3.0,93,0.0,0,0,0,0
2005-01-03 02:00:00,5.0,87,2.1,350,0,0,0
2005-01-03 03:00:00,6.0,81,0.0,0,0,0,0
2005-01-03 04:00:00,6.0,81,0.0,0,0,0,0
2005-01-03 05:00:00,6.0,81,0.0,0,0,0,0
2005-01-03 06:00:00,6.0,81,0.0,0,0,0,0
2005-01-03 07:00:00,5.0,87,0.0,0,0,0,0
2005-01-03 08:00:00,4.0,93,0.0,0,0,0,0
2005-01-03 09:00:00,6.0,87,0.0,0,79,66,70
2005-01-03 10:00:00,7.0,81,0.0,0,107,0,107
2005-01-03 11:00:00,9.0,81,1.5,340,188,43,172
2005-01-03 12:00:00,9.0,81,1.5,310,161,0,161
2005-01-03 13:00:00,10.0,76,1.5,300,161,0,161
2005-01-03 14:00:00,10.0,82,0.0,0,115,0,115
2005-01-03 15:00:00,11.0,76,0.0,0,120,0,120
2005-01-03 16:00:00,9.0,93,0.0,0,68,0,68
2005-01-03 17:00:00,10.0,87,0.0,0,23,36,20
2005-01-03 18:00:00,8.0,93,1.5,300,0,0,0
2005-01-03 19:00:00,9.0,93,0.0,0,0,0,0
2005-01-03 20:00:00,10.0,93,1.5,230,0,0,0
2005-01-03 21:00:00,12.0,88,3.6,150,0,0,0
2005-01-03 22:00:00,12.0,88,2.6,170,0,0,0
2005-01-03 23:00:00,13.0,88,4.1,190,0,0,0
2005-01-04 00:00:00,14.0,82,3.1,200,0,0,0
2005-01-04 01:00:00,15.0,77,3.6,210,0,0,0
2005-01-04 02:00:00,15.0,77,3.1,220,0,0,0
2005-01-04 03:00:00,16.0,72,3.6,210,0,0,0
2005-01-04 04:00:00,16.0,72,4.1,230,0,0,0
2005-01-04 05:00:00,16.0,72,5.1,240,0,0,0
2005-01-04 06:00:00,17.0,68,3.6,240,0,0,0
2005-01-04 07:00:00,16.0,72,4.6,230,0,0,0
2005-01-04 08:00:00,16.0,72,3.6,240,0,0,0
2005-01-04 09:00:00,13.0,88,5.1,360,59,0,59
2005-01-04 10:00:00,12.0,82,5.7,340,114,6,112
2005-01-04 11:00:00,11.0,82,4.6,360,130,0,130
2005-01-04 12:00:00,11.0,76,5.7,350,347,248,235
2005-01-04 13:00:00,10.0,82,5.1,360,167,6,165
2005-01-04 14:00:00,10.0,82,4.6,350,179,12,174
2005-01-04 15:00:00,10.0,82,4.6,10,153,23,145
2005-01-04 16:00:00,9.0,81,3.6,360,88,11,85
2005-01-04 17:00:00,9.0,81,3.6,360,18,0,18
2005-01-04 18:00:00,9.0,81,2.6,10,0,0,0
2005-01-04 19:00:00,9.0,81,1.5,10,0,0,0
2005-01-04 20:00:00,9.0,81,2.1,350,0,0,0
2005-01-04 21:00:00,9.0,81,1.5,360,0,0,0
2005-01-04 22:00:00,8.0,93,0.0,0,0,0,0
2005-01-04 23:00:00,8.0,93,1.5,60,0,0,0
2005-01-05 00:00:00,8.0,93,2.1,70,0,0,0
2005-01-05 01:00:00,7.0,93,2.1,40,0,0,0
2005-01-05 02:00:00,7.0,93,2.1,10,0,0,0
2005-01-05 03:00:00,7.0,93,3.6,30,0,0,0
2005-01-05 04:00:00,7.0,93,4.1,10,0,0,0
2005-01-05 05:00:00,6.0,100,3.6,50,0,0,0
2005-01-05 06:00:00,6.0,100,3.1,360,0,0,0
2005-01-05 07:00:00,6.0,100,2.6,10,0,0,0
2005-01-05 08:00:00,6.0,100,0.0,0,0,0,0
2005-01-05 09:00:00,6.0,100,2.6,50,20,0,20
2005-01-05 10:00:00,6.0,100,3.6,350,100,0,100
2005-01-05 11:00:00,6.0,100,4.1,20,65,0,65
2005-01-05 12:00:00,6.0,87,3.6,20,223,60,196
2005-01-05 13:00:00,5.0,93,5.1,60,72,0,72
2005-01-05 14:00:00,4.0,93,5.1,50,63,0,63
2005-01-05 15:00:00,4.0,93,4.6,50,93,0,93
2005-01-05 16:00:00,4.0,87,5.1,60,49,0,49
2005-01-05 17:00:00,3.0,93,3.6,40,24,27,22
2005-01-05 18:00:00,3.0,93,4.6,60,0,0,0
2005-01-05 19:00:00,3.0,93,4.1,60,0,0,0
2005-01-05 20:00:00,3.0,93,3.6,70,0,0,0
2005-01-05 21:00:00,3.0,93,4.1,60,0,0,0
2005-01-05 22:00:00,3.0,93,1.5,70,0,0,0
2005-01-05 23:00:00,3.0,93,2.6,80,0,0,0
2005-01-06 00:00:00,3.0,93,2.6,80,0,0,0
2005-01-06 01:00:00,3.0,93,2.6,70,0,0,0
2005-01-06 02:00:00,3.0,93,3.1,90,0,0,0
2005-01-06 03:00:00,3.0,93,2.6,70,0,0,0
2005-01-06 04:00:00,3.0,93,3.1,80,0,0,0
2005-01-06 05:00:00,3.0,93,3.1,70,0,0,0
2005-01-06 06:00:00,2.0,93,4.1,60,0,0,0
2005-01-06 07:00:00,2.0,93,3.6,80,0,0,0
2005-01-06 08:00:00,2.0,93,3.1,60,0,0,0
2005-01-06 09:00:00,3.0,93,3.1,60,30,0,30
2005-01-06 10:00:00,3.0,93,2.1,70,43,0,43
2005-01-06 11:00:00,3.0,93,2.1,40,58,0,58
2005-01-06 12:00:00,3.0,93,2.1,290,68,0,68
2005-01-06 13:00:00,2.0,100,1.5,300,72,0,72
2005-01-06 14:00:00,3.0,93,0.0,0,69,0,69
2005-01-06 15:00:00,3.0,100,2.1,320,49,0,49
2005-01-06 16:00:00,3.0,100,2.1,310,69,0,69
